encoded_mct,mct_bse_ar,mct_nm,mct_brd_num,hpsn_mct_zcd_nm,hpsn_mct_bzn_cd_nm,ta_ym,m12_mal_1020_rat,m12_mal_30_rat,m12_mal_40_rat,m12_mal_50_rat,m12_mal_60_rat,m12_fme_1020_rat,m12_fme_30_rat,m12_fme_40_rat,m12_fme_50_rat,m12_fme_60_rat,mct_ue_cln_reu_rat,mct_ue_cln_new_rat,rc_m1_shc_rsd_ue_cln_rat,rc_m1_shc_wp_ue_cln_rat,rc_m1_shc_flp_ue_cln_rat,mct_ope_ms_cn,rc_m1_saa,rc_m1_to_ue_ct,rc_m1_ue_cus_cn,rc_m1_av_np_at,apv_ce_rat,dlv_saa_rat,m1_sme_ry_saa_rat,m1_sme_ry_cnt_rat,m12_sme_ry_saa_pce_rt,m12_sme_bzn_saa_pce_rt,new_area_with_public
011E53BB76,서울특별시 성동구 왕십리로 410,정성**,백반/가정식21,백반/가정식,왕십리,2023,5.011233333,11.23,11.3193,6.990575,5.223958333,7.588766667,17.00333333,17.13903333,10.584425,7.909375,44.045,5.540833333,48.725,8.091666667,43.18333333,37.5,5,5,5,80.83333333,,16.80833333,398.225,1700.1,2.491666667,0,한식음식점
011E53BB76,서울특별시 성동구 왕십리로 410,정성**,백반/가정식21,백반/가정식,왕십리,2024,4.117016667,11.040025,11.76610833,7.255675,5.819425,6.182983333,16.56830833,17.65055833,10.88599167,8.730575,42.89,5.5025,51.675,7.341666667,40.98333333,37.5,6.041666667,5,5,70.83333333,,21.65833333,373.2666667,1537.225,2.95,0,한식음식점
012A64A73B,서울특별시 성동구 마장로 319-1,인생**,,포장마차,왕십리,2023,12.52340833,21.97633333,19.03439167,14.32100833,4.808233333,4.709925,8.265333333,7.157275,5.378991667,1.808433333,16.60583333,6.8675,40.24166667,12.19166667,47.55833333,41.66666667,52.08333333,62.5,62.5,37.5,,0.35,71.83333333,68.26666667,22.10833333,0,분식전문점
012A64A73B,서울특별시 성동구 마장로 319-1,인생**,,포장마차,왕십리,2024,10.21884167,16.866775,20.95310833,18.40831667,5.035325,4.081158333,6.674891667,8.371891667,7.400016667,2.023008333,18.62916667,7,40.38333333,8.808333333,50.8,37.5,43.75,62.5,62.5,27.5,1,0,92.875,80.65833333,21.325,0,분식전문점
014A6A2154,서울특별시 성동구 마장로 222,소양*,,백반/가정식,왕십리,2023,1.629166667,0,4.329166667,5.958333333,11.91666667,2.5375,0,8.170833333,10.70833333,54.75,72.22333333,72.22333333,0,19.43333333,80.56666667,95,82.5,82.5,82.5,37.5,,,6.766666667,6.066666667,86.5,79,한식음식점
014A6A2154,서울특별시 성동구 마장로 222,소양*,,백반/가정식,왕십리,2024,2.965354545,0.8862,8.563981818,15.57283636,33.47788182,2.098281818,0.395618182,5.799654545,9.354436364,20.87666364,25.44818182,11.22,51.51818182,7.572727273,40.9,87.04545455,83.63636364,82.5,82.5,35.68181818,,,3.445454545,3.2,78.76363636,72.30909091,한식음식점
01670CF403,서울특별시 성동구 왕십리로 390,한스*******,,베이커리,왕십리,2023,8.97845,13.85038333,7.6657,4.663708333,1.941866667,15.24655,23.48295,12.99263333,7.894625,3.283133333,22.8625,6.465833333,39.88333333,6.575,53.525,62.5,15.41666667,17.5,15.41666667,37.5,1,15.70833333,274.8166667,288.95,4.583333333,0,제과점
01670CF403,서울특별시 성동구 왕십리로 390,한스*******,,베이커리,왕십리,2024,7.793058333,14.480875,8.622616667,5.483175,2.612016667,12.18194167,22.644125,13.50238333,8.583491667,4.096316667,21.4475,6.714166667,41.175,6.3,52.50833333,58.33333333,16.45833333,20.83333333,17.5,37.5,1,18,242.3916667,223.05,6.116666667,0,제과점
016C67D6C6,서울특별시 성동구 상원10길 3,목*,,양식,뚝섬,2024,9.778825,13.9135375,4.1778125,3.084875,0.895675,29.633675,24.3864625,7.2471875,5.377625,1.541825,10.87375,44.465,32.325,22.0625,45.6,93.4375,50.9375,65,65,29.6875,,,60.725,45.325,56.7625,48.8625,양식음식점
01744C5370,서울특별시 성동구 연무장5길 9-16,성수*****,,한식-단품요리일반,성수,2023,20.666675,11.16226667,4.750683333,3.6756,0.838266667,29.633325,16.01273333,6.80765,5.2744,1.2034,8.621666667,6.725,8.058333333,16.85,75.09166667,77.5,8.125,17.5,12.29166667,37.5,,4.733333333,345.0166667,434.9916667,2.841666667,4.991666667,한식음식점
01744C5370,서울특별시 성동구 연무장5길 9-16,성수*****,,한식-단품요리일반,성수,2024,19.98546667,11.46345833,4.645841667,3.934016667,0.984433333,28.73953333,16.48654167,6.679158333,5.65765,1.415566667,8.691666667,6.674166667,8.833333333,17.39166667,73.76666667,62.5,17.5,17.5,17.5,37.5,,5.116666667,255.0833333,244.2,4.716666667,7.95,한식음식점
0174C56C09,서울 성동구 아차산로11길 26.,햄찌*********,,식료품,성수,2023,11.92233333,22.57583333,15.50441667,13.19031667,2.957066667,6.161,11.5075,7.945583333,6.72635,1.5096,21.46,39.34333333,9.833333333,51.4,38.8,75.83333333,37.5,37.5,34.16666667,45.83333333,1,,124.4,109.15,29.61666667,0,기타_식재료
0174C56C09,서울 성동구 아차산로11길 26.,햄찌*********,,식료품,성수,2024,10.49836667,21.045425,16.72928333,10.88975,3.886658333,6.134966667,12.33790833,9.812383333,6.376916667,2.288341667,32.79833333,7.3725,11.09166667,52.1,36.79166667,62.5,39.58333333,37.5,37.5,41.66666667,,,126.4583333,97.58333333,6.083333333,0,기타_식재료
018DD7E495,서울 성동구 독서당로 296-8,동원*,,중식당,금남시장,2023,5.882833333,11.76944167,18.655825,21.941775,13.81060833,2.283833333,4.555558333,7.244175,8.499891667,5.347725,31.10083333,7.015,56.20833333,11.35,32.43333333,37.5,62.5,43.75,45.83333333,62.5,1,,42.90833333,64.65833333,46.8,30.2,중식음식점
018DD7E495,서울 성동구 독서당로 296-8,동원*,,중식당,금남시장,2024,4.205190909,13.07854545,16.19595455,21.07638182,17.24181818,1.631172727,5.148727273,6.367681818,8.232709091,6.830909091,26.84545455,7.76,62.64545455,9.027272727,28.33636364,21.13636364,62.5,44.31818182,46.59090909,57.95454545,,,46.73636364,67.05454545,47.50909091,30.72727273,중식음식점
019E31E4C6,서울특별시 성동구 광나루로4길 4-1,엔엠*,,양식,성수,2023,10.43775833,2.663691667,1.121183333,1.377933333,0.112891667,56.01224167,14.33630833,5.995483333,7.372066667,0.603775,9.071666667,6.298333333,6.016666667,3.716666667,90.26666667,80.83333333,65.83333333,58.33333333,54.16666667,62.5,1,,24.86666667,66.99166667,39.85833333,32.275,양식음식점
019E31E4C6,서울특별시 성동구 광나루로4길 4-1,엔엠*,,양식,성수,2024,12.22488333,4.334791667,2.117366667,1.476691667,0.449433333,47.52511667,16.49854167,8.065966667,5.698308333,1.625566667,5.090833333,6.425,8.366666667,4.866666667,86.775,62.5,79.16666667,62.5,62.5,60.41666667,,,12.625,36.2,53.55833333,43.36666667,양식음식점
01AAD3CFFA,서울 성동구 행당동,행당**,,식료품,왕십리,2023,12.90985833,19.60681667,21.2294,22.55615,14.98901667,1.240141667,1.851516667,2.003933333,2.185516667,1.435983333,25.1025,6.285,46.76666667,14.55,38.725,37.5,82.5,65.83333333,65.83333333,82.5,,,13.43333333,30.35833333,50.46666667,65.84166667,기타_식재료
01AAD3CFFA,서울 성동구 행당동,행당**,,식료품,왕십리,2024,12.25184167,11.094925,16.0014,33.35625,16.67880833,1.456491667,1.330075,1.890266667,3.960416667,1.979525,30.17916667,7.835833333,45.39166667,17.06666667,37.55833333,37.5,82.5,65.83333333,64.16666667,80.83333333,1,,62.19166667,86.65,39.23333333,65.3,기타_식재료
01AB37892D,서울특별시 성동구 고산자로24길 11-1,구공**,,축산물,마장동,2023,36.9,36.9,0,0,0,13.1,13.1,0,0,0,0,50,100,0,0,62.5,62.5,82.5,82.5,5,,,49.1,4.5,40.6,59.5,기타_식재료
01AB37892D,서울특별시 성동구 고산자로24길 11-1,구공**,,축산물,마장동,2024,15.9507,15.9507,0,0,15.9507,17.3493,17.3493,0,0,17.3493,25,50,0,0,100,62.5,37.5,82.5,82.5,5,1,,156,17.6,25.4,46.4,기타_식재료
01B82F195A,서울 성동구 독서당로 296-1.,스몰**,,호프/맥주,금남시장,2023,6.821158333,10.05206667,26.35014167,20.14138333,6.743925,2.978841667,4.2396,11.166525,8.583616667,2.922741667,17.32166667,6.4975,55.875,14.95833333,29.16666667,20.83333333,80.83333333,82.5,82.5,34.58333333,1,,16.24166667,16.26666667,66.29166667,52.56666667,호프-간이주점
01B82F195A,서울 성동구 독서당로 296-1.,스몰**,,호프/맥주,금남시장,2024,10.57773333,13.32565833,18.24755,21.12350833,4.3723,5.213933333,6.332675,8.60245,10.109825,2.1027,23.2575,4.611666667,55.23333333,28.78333333,15.98333333,17.5,80.83333333,82.5,82.5,30.83333333,,,12.775,13.66666667,69.55833333,54.81666667,호프-간이주점
01CCBE28E0,서울특별시 성동구 행당로 133,워니***,,양식,왕십리,2023,14.46779167,22.55849167,19.07546667,13.66475,4.806575,4.890541667,7.608175,6.5412,4.71025,1.676758333,28.60083333,6.261666667,23.18333333,17.70833333,59.14166667,37.5,67.5,69.16666667,70.83333333,43.75,,83,28.3,28,46.79166667,49.16666667,양식음식점
01CCBE28E0,서울특별시 성동구 행당로 133,워니***,,양식,왕십리,2024,12.55215833,25.018175,17.21485833,16.11621667,8.261875,3.289508333,6.556825,4.510141667,4.242116667,2.213125,26.175,5.205,15.7,30.275,54.03333333,37.5,77.5,80.83333333,80.83333333,37.91666667,,88,15.49166667,13.275,56.675,56.05833333,양식음식점
01D70FA491,서울특별시 성동구 성수이로7가길 6,등촌*********,한식-국수/만두4,한식-국수/만두,성수,2023,13.73975,19.00395,14.3613,11.08404167,7.008558333,7.33525,10.13771667,7.655366667,5.915958333,3.741441667,12.85583333,6.925,19.15833333,23.775,57.04166667,77.5,62.5,62.5,54.16666667,50,1,,51.14166667,60.15,32.38333333,31.41666667,한식음식점
01D70FA491,서울특별시 성동구 성수이로7가길 6,등촌*********,한식-국수/만두4,한식-국수/만두,성수,2024,11.7349,20.09891667,13.43455,10.14105833,6.803675,7.1651,12.22608333,8.14045,6.133941667,4.129658333,12.1175,8.264166667,20.21666667,18.98333333,60.79166667,62.5,60.41666667,56.25,43.75,37.5,,,63.41666667,71.65833333,32.2,30.95833333,한식음식점
01DB89157C,서울특별시 성동구 마조로 30,프랭********,,햄버거,한양대,2023,37.47015,9.085016667,5.269341667,7.199508333,1.950933333,23.97985,5.814983333,3.372325,4.608825,1.249066667,30.60166667,5.579166667,41.99166667,7.541666667,50.46666667,77.5,23.125,7.083333333,6.041666667,62.5,,23.23333333,109.3416667,95.50833333,14.56666667,18.51666667,패스트푸드점
01DB89157C,서울특별시 성동구 마조로 30,프랭********,,햄버거,한양대,2024,35.99310833,9.346066667,5.375933333,7.982991667,2.3425,22.965225,5.978933333,3.4324,5.108675,1.499166667,28.61166667,6.91,44.34166667,6.291666667,49.34166667,62.5,21.45833333,10.20833333,8.125,62.5,,33.675,118.625,95.31666667,14.33333333,23.06666667,패스트푸드점
01EBAA3D0F,서울특별시 성동구 왕십리로8길 15,샐러****************,,샌드위치/토스트,뚝섬,2023,11.04315833,10.02700833,3.910441667,2.56555,1.0447,27.64850833,25.231325,9.581225,6.301116667,2.646966667,31.17333333,5.529166667,15.725,37.49166667,46.74166667,65.83333333,65.83333333,47.91666667,52.08333333,65.83333333,1,0,35.44166667,84.64166667,37.88333333,39.75833333,분식전문점
01EBAA3D0F,서울특별시 성동구 왕십리로8길 15,샐러****************,,샌드위치/토스트,뚝섬,2024,10.74239167,12.0074,7.546475,4.018416667,0.864708333,19.90760833,22.0426,13.83685833,7.389916667,1.585291667,30.29333333,6.8825,13.55,43.13333333,43.30833333,62.5,65.83333333,47.91666667,54.16666667,62.5,,7.2,40.35833333,87.99166667,41.36666667,40.575,분식전문점
01EDD97C21,서울특별시 성동구 자동차시장1길 39,일카*,,커피전문점,장한평자동차,2023,17.47065,22.85900833,13.9511,9.42495,4.672466667,8.121016667,10.574325,6.457233333,4.333383333,2.152533333,37.88916667,6.453333333,16.30833333,27.04166667,56.64166667,47.91666667,45.83333333,17.5,27.5,80.83333333,,11.33333333,113.0083333,93.96666667,18.40833333,13.51666667,커피-음료
01EDD97C21,서울특별시 성동구 자동차시장1길 39,일카*,,커피전문점,장한평자동차,2024,11.52998333,23.09019167,14.358075,11.890975,6.275716667,5.586683333,11.30980833,7.025258333,5.834025,3.11595,35.415,5.869166667,14.65833333,32.01666667,53.31666667,37.5,56.25,25.83333333,37.5,77.5,,6.466666667,88.2,73.44166667,19.89166667,14.46666667,커피-음료
01F74A3D59,서울 성동구 성덕정17길 8-1,영계*******,,치킨,성수,2023,9.633616667,20.79573333,17.2282,16.91229167,12.29575833,2.966383333,6.295933333,5.1218,5.079375,3.637575,23.86083333,8.38,33.90833333,11.73333333,54.35833333,37.5,62.5,62.5,62.5,37.5,1,5.066666667,77.31666667,64.525,40.65833333,39.2,치킨전문점
01F74A3D59,서울 성동구 성덕정17길 8-1,영계*******,,치킨,성수,2024,11.414325,17.6678,12.66741667,18.471375,9.30005,5.010675,7.7072,5.52425,8.136958333,4.083283333,19.59166667,6.819166667,50.03333333,10.6,39.375,37.5,62.5,62.5,62.5,39.58333333,1,17.75,74.2,73.86666667,30.59166667,35.75833333,치킨전문점
01FD0FCC3D,서울특별시 성동구 상원길 49,그리*****,,카페,뚝섬,2023,6.375,4.4115,1.224,0.4845,0.24225,68.625,12.8885,3.576,1.4155,0.70775,8.475,99.155,11.75,60.8,27.45,95,78.75,60,60,62.5,,63.9,35.55,56.3,82,68.15,커피-음료
01FD0FCC3D,서울특별시 성동구 상원길 49,그리*****,,카페,뚝섬,2024,8.00415,7.323916667,1.596966667,1.656716667,0.85055,33.15418333,30.37608333,6.603033333,6.88495,3.541116667,26.67916667,16.94,20.9,30.91666667,48.16666667,87.70833333,45.83333333,30.83333333,39.58333333,62.5,1,20.86666667,100.9083333,169.2166667,34.7,35.76666667,커피-음료
01FDC9FAEA,서울특별시 성동구 성덕정17길 4,성수**,,포장마차,성수,2023,15.09865,9.43335,9.5336,8.68355,12.75235,12.40135,6.86665,7.7664,6.76645,10.79765,15.97,79.76,47.75,11.65,40.65,95,62.5,62.5,62.5,37.5,,,40.95,49.85,74.6,59.5,분식전문점
01FDC9FAEA,서울특별시 성동구 성덕정17길 4,성수**,,포장마차,성수,2024,13.43669167,21.499475,9.927183333,6.803983333,9.227458333,8.671641667,13.74219167,6.372816667,4.371016667,5.939208333,13.4075,12.96666667,37.08333333,10.34166667,52.59166667,87.70833333,64.16666667,62.5,62.5,35.83333333,,,35.83333333,40.425,46.29166667,41.9,분식전문점
02080D3457,서울특별시 성동구 금호산2길 21-1,앂.**************,,양식,금남시장,2023,13.389175,26.415775,9.135391667,4.614341667,0.151375,11.30249167,22.459225,8.214608333,4.168991667,0.156958333,6.89,10.93666667,34.24166667,3.916666667,61.85833333,86.66666667,62.5,67.5,65.83333333,15.41666667,1,,45.73333333,22.51666667,39.68333333,31.125,양식음식점
02080D3457,서울특별시 성동구 금호산2길 21-1,앂.**************,,양식,금남시장,2024,7.355233333,25.981,10.37455833,5.082716667,1.039383333,7.3781,26.00233333,10.55044167,5.23395,1.01895,8.756666667,7.8475,32.80833333,1.675,65.54166667,72.5,58.33333333,65.83333333,64.16666667,15.41666667,1,,47.06666667,22.64166667,34.00833333,26.41666667,양식음식점
